Colour Number,Colour Name,NCS Number,R,G,B,Hex
1626,ZEST,S0515-Y ,251,234,190,#FBEABE
1155,BUTTERY CREAM,0618-Y11R ,251,226,176,#FBE2B0
1154,OLD CREAM,S0510-Y10R ,250,234,197,#FAEAC5
1188,UNICORN,0611-Y31R ,250,227,196,#FAE3C4
2121,FLORAL PINK,S0510-Y60R ,250,225,208,#FAE1D0
1194,DAY BREAK,0611-Y43R ,250,224,198,#FAE0C6
2021,FROSTY PEACH,S0510-Y50R ,249,225,205,#F9E1CD
2127,CANDY,S0510-Y70R ,249,223,207,#F9DFCF
2568,STAR CHAMPAGNE,S0507-Y60R ,248,229,214,#F8E5D6
1150,SWEET NECTAR,0619-Y02R ,248,229,176,#F8E5B0
10009,LIGHT PEACH,S0507-Y40R ,247,230,208,#F7E6D0
2044,CORAL PINK,0314-Y91R ,247,220,211,#F7DCD3
1160,MORNING LIGHT,0818-Y27R ,247,212,169,#F7D4A9
2206,SOLRENNING,S1040-Y20R ,247,190,120,#F7BE78
1988,FOUNTAINS,S0507-Y ,246,238,211,#F6EED3
1189,DUST STORM,0819-Y32R ,246,206,166,#F6CEA6
2117,,0919-Y50R ,246,202,172,#F6CAAC
2122,CARNATIONS,0720-Y58R ,246,200,174,#F6C8AE
1225,,0506-Y43R ,245,230,212,#F5E6D4
2786,,0510-Y77R ,245,223,212,#F5DFD4
2793,AZALEA PEACH,0715-Y76R ,245,210,196,#F5D2C4
1195,,1020-Y37R ,245,203,165,#F5CBA5
1516,LEMON JUICE,S0505-Y10R ,244,236,215,#F4ECD7
566,MAGNOLIA,0606-Y41R ,244,233,215,#F4E9D7
2249,ALE TANGY,S0505-Y50R ,244,230,212,#F4E6D4
526,LUNA,1017-Y29R ,244,211,173,#F4D3AD
10064,,1127-Y42R ,244,190,147,#F4BE93
7236,JAZZ WHITE,0401-G42Y ,243,244,238,#F3F4EE
1224,,0605-Y18R ,243,235,215,#F3EBD7
8070,TROPIC GINGER,0612-G88Y ,243,234,198,#F3EAC6
1149,PALE SUN,S0510-Y ,243,232,199,#F3E8C7
1349,LIGHT,0712-Y01R ,243,229,192,#F3E5C0
578,SAHARA,0809-Y32R ,243,224,197,#F3E0C5
10406,GOLDEN LILY,1156-Y07R ,243,191,83,#F3BF53
1624,SKYLIGHT,0501-Y01R ,242,241,232,#F2F1E8
8065,BRIGHT SPRING,0411-G69Y ,242,240,207,#F2F0CF
567,IVORY,0504-Y21R ,242,234,215,#F2EAD7
2510,,S0505-Y90R ,242,231,223,#F2E7DF
2355,,S0505-Y70R ,242,229,218,#F2E5DA
118,PERSIAN PEARL,0811-Y16R ,242,226,193,#F2E2C1
1239,CLASSIC YELLOW,0816-Y01R ,242,225,182,#F2E1B6
2128,PEACH BLUSH,0720-Y69R ,242,196,176,#F2C4B0
1190,,1127-Y31R ,242,193,142,#F2C18E
1105,SOYAMILK,0502-Y08R ,241,239,229,#F1EFE5
2570,PASTEL BREEZE,S0603-Y60R ,241,233,224,#F1E9E0
